NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL12A1	3	4.1075944900512695	0.07291211	Yes	
row_1	FSTL1	12	2.833190441131592	0.12004984	Yes	
row_2	VCAM1	37	1.91384756565094	0.14200565	Yes	
row_3	CDH11	74	1.5552949905395508	0.15107815	Yes	
row_4	FERMT2	98	1.4186393022537231	0.16458307	Yes	
row_5	PLOD2	99	1.4090663194656372	0.1901419	Yes	
row_6	ITGA5	100	1.3729476928710938	0.21504559	Yes	
row_7	THY1	103	1.3510322570800781	0.23848848	Yes	
row_8	FSTL3	106	1.3379467725753784	0.261694	Yes	
row_9	TGM2	110	1.3197250366210938	0.2840374	Yes	
row_10	COL4A1	112	1.3133906126022339	0.30732915	Yes	
row_11	NNMT	143	1.1477137804031372	0.3121984	Yes	
row_12	VCAN	146	1.1250630617141724	0.33154246	Yes	
row_13	GAS1	166	1.0214205980300903	0.33996886	Yes	
row_14	ABI3BP	176	0.9969341158866882	0.3532674	Yes	
row_15	DAB2	178	0.9898569583892822	0.3706906	Yes	
row_16	PLAUR	212	0.8781270980834961	0.36907497	Yes	
row_17	IGFBP4	214	0.8731571435928345	0.38438138	Yes	
row_18	FGF2	222	0.8477464318275452	0.3960371	Yes	
row_19	COL4A2	244	0.774363100528717	0.39891887	Yes	
row_20	CALU	261	0.7470396161079407	0.4039632	Yes	
row_21	TNC	273	0.7219703793525696	0.41121095	Yes	
row_22	ENO2	275	0.7173075079917908	0.42369044	Yes	
row_23	THBS1	292	0.6734527349472046	0.4274	Yes	
row_24	COMP	300	0.6658146381378174	0.43575567	Yes	
row_25	MSX1	307	0.6418097615242004	0.44420755	Yes	
row_26	ITGB3	336	0.5606757402420044	0.43949187	Yes	
row_27	MEST	344	0.5419784784317017	0.44560128	Yes	
row_28	INHBA	368	0.4992481768131256	0.44242954	Yes	
row_29	THBS2	369	0.4980187714099884	0.451463	Yes	
row_30	PRRX1	371	0.4943801164627075	0.4598989	Yes	
row_31	SAT1	377	0.48430880904197693	0.46602553	Yes	
row_32	COL6A3	379	0.48032674193382263	0.47420645	Yes	
row_33	PTX3	387	0.47109922766685486	0.47903022	Yes	
row_34	NT5E	388	0.46512046456336975	0.48746696	Yes	
row_35	SERPINE1	404	0.428139328956604	0.48725843	Yes	
row_36	GADD45A	406	0.42581838369369507	0.49445066	Yes	
row_37	GREM1	424	0.38782772421836853	0.49244767	Yes	
row_38	BASP1	425	0.38754141330718994	0.4994772	Yes	
row_39	PVR	444	0.33817222714424133	0.4960419	Yes	
row_40	VEGFA	449	0.32689350843429565	0.49984482	Yes	
row_41	TPM4	463	0.2796045243740082	0.4980053	Yes	
row_42	TNFRSF12A	469	0.2615194320678711	0.50009084	Yes	
row_43	TIMP1	479	0.24473099410533905	0.49974525	No	
row_44	SERPINH1	506	0.2008954882621765	0.48956683	No	
row_45	SERPINE2	534	0.13334529101848602	0.4776315	No	
row_46	GLIPR1	572	0.05342358723282814	0.45893016	No	
row_47	EMP3	595	0.010144620202481747	0.44741824	No	
row_48	LOXL2	649	-0.07269689440727234	0.4205604	No	
row_49	IL32	701	-0.14344534277915955	0.39604908	No	
row_50	CCN1	708	-0.15131868422031403	0.39560404	No	
row_51	JUN	859	-0.3280865252017975	0.32181033	No	
row_52	SGCD	1034	-0.513860821723938	0.2386272	No	
row_53	POSTN	1073	-0.5475847721099854	0.22835772	No	
row_54	MATN2	1093	-0.5678085684776306	0.2285561	No	
row_55	SLC6A8	1134	-0.6044555902481079	0.21825494	No	
row_56	AREG	1137	-0.605454683303833	0.22817393	No	
row_57	COL7A1	1155	-0.6359764337539673	0.23067205	No	
row_58	SNAI2	1172	-0.6559606194496155	0.23406431	No	
row_59	GPC1	1222	-0.7057640552520752	0.22081608	No	
row_60	CADM1	1408	-0.9135262966156006	0.13903445	No	
row_61	ID2	1430	-0.9462136030197144	0.14503339	No	
row_62	PDLIM4	1524	-1.0742651224136353	0.115077525	No	
row_63	EDIL3	1538	-1.091895580291748	0.12797202	No	
row_64	TNFAIP3	1577	-1.1482293605804443	0.12859756	No	
row_65	ITGA2	1708	-1.4313122034072876	0.08544773	No	
row_66	SDC4	1877	-2.2647809982299805	0.037214037	No	
