NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F2	30	2.136162042617798	0.04216701	No	
row_1	ODC1	192	0.9358358979225159	-0.016975295	No	
row_2	MEIS1	278	0.7089652419090271	-0.042373445	No	
row_3	HIF1A	304	0.6528482437133789	-0.03779696	No	
row_4	SLC7A5	437	0.34934088587760925	-0.09761707	No	
row_5	CCND1	445	0.33255577087402344	-0.09227544	No	
row_6	MT2A	448	0.32989928126335144	-0.08438117	No	
row_7	BCL3	495	0.21875956654548645	-0.10259721	No	
row_8	E2F3	525	0.15164734423160553	-0.11370888	No	
row_9	E2F1	566	0.059458572417497635	-0.13309424	No	
row_10	CDC25B	596	0.0094158248975873	-0.14806205	No	
row_11	MCM5	615	-0.011017701588571072	-0.15721215	No	
row_12	MYBL2	685	-0.12337670475244522	-0.19008768	No	
row_13	MYC	710	-0.1539493203163147	-0.19851227	No	
row_14	TLE3	747	-0.19611889123916626	-0.21209279	No	
row_15	RASAL2	887	-0.3484871983528137	-0.27561057	No	
row_16	G3BP1	911	-0.37136274576187134	-0.2776158	No	
row_17	DKC1	1060	-0.5352044701576233	-0.34079576	No	
row_18	NOLC1	1062	-0.5366301536560059	-0.3267717	No	
row_19	UBE2S	1070	-0.54705411195755	-0.31561467	No	
row_20	RBL1	1142	-0.6175665259361267	-0.3361417	No	
row_21	AMD1	1198	-0.6883111596107483	-0.3463518	No	
row_22	KPNA2	1259	-0.7429593205451965	-0.35770497	No	
row_23	HNRNPU	1281	-0.7637054920196533	-0.3480232	No	
row_24	FOXN3	1359	-0.8540657758712769	-0.36528796	No	
row_25	FBXO5	1388	-0.8866134285926819	-0.35594848	No	
row_26	RPS6KA5	1477	-1.0002061128616333	-0.3750254	Yes	
row_27	PRMT5	1493	-1.0270249843597412	-0.355055	Yes	
row_28	CDKN1B	1496	-1.0342522859573364	-0.3280645	Yes	
row_29	ODF2	1497	-1.0351462364196777	-0.2999999	Yes	
row_30	CDK4	1512	-1.0533795356750488	-0.27879003	Yes	
row_31	BARD1	1518	-1.064056396484375	-0.2525663	Yes	
row_32	RBM14	1558	-1.117800235748291	-0.24273324	Yes	
row_33	JPT1	1579	-1.1512454748153687	-0.22201967	Yes	
row_34	CKS2	1585	-1.167651891708374	-0.1929873	Yes	
row_35	SRSF1	1612	-1.2083115577697754	-0.17387617	Yes	
row_36	HSPA8	1650	-1.2879520654678345	-0.15838014	Yes	
row_37	ARID4A	1663	-1.317289113998413	-0.12896536	Yes	
row_38	RPA2	1775	-1.6488234996795654	-0.14253062	Yes	
row_39	CDC20	1799	-1.7456163167953491	-0.107277445	Yes	
row_40	CDC7	1828	-1.914605736732483	-0.07006734	Yes	
row_41	H2AX	1878	-2.272585153579712	-0.034175415	Yes	
row_42	DMD	1904	-2.5771424770355225	0.02257201	Yes	
