NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F2	30	2.136162042617798	0.09287325	Yes	
row_1	GYPC	76	1.5472973585128784	0.14803748	Yes	
row_2	SDCBP	93	1.4689594507217407	0.21431187	Yes	
row_3	TFRC	352	0.5244680643081665	0.10671106	No	
row_4	GCLM	440	0.34557008743286133	0.078995004	No	
row_5	ERMAP	470	0.25783398747444153	0.07700029	No	
row_6	SLC6A9	497	0.21486300230026245	0.07438423	No	
row_7	TMCC2	552	0.08526965975761414	0.050618794	No	
row_8	SLC25A37	614	-0.009695001877844334	0.019373368	No	
row_9	HBB	643	-0.0578986257314682	0.0077455095	No	
row_10	RNF19A	855	-0.32551199197769165	-0.08550531	No	
row_11	AQP3	861	-0.3285146653652191	-0.071423605	No	
row_12	OSBP2	874	-0.3415104150772095	-0.060323972	No	
row_13	ASNS	1037	-0.5146817564964294	-0.11847378	No	
row_14	HMBS	1064	-0.5402536988258362	-0.10456533	No	
row_15	PPOX	1123	-0.5953953266143799	-0.10450592	No	
row_16	BTG2	1133	-0.6027244329452515	-0.07858002	No	
row_17	SLC6A8	1134	-0.6044555902481079	-0.047883593	No	
row_18	H1-0	1257	-0.7406705617904663	-0.07374522	No	
row_19	TENT5C	1344	-0.8366785645484924	-0.076000735	No	
row_20	DAAM1	1403	-0.8977664113044739	-0.060585827	No	
row_21	TFDP2	1442	-0.9565156698226929	-0.03178159	No	
row_22	KDM7A	1564	-1.125374436378479	-0.037586283	No	
row_23	SLC7A11	1626	-1.2284923791885376	-0.006936794	No	
row_24	SLC2A1	1646	-1.2820091247558594	0.048282705	No	
row_25	CA2	1859	-2.12282133102417	0.04578544	No	
