NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R3	25	2.352236032485962	0.056912433	Yes	
row_1	PLOD2	99	1.4090663194656372	0.060401373	Yes	
row_2	FGL2	162	1.0342575311660767	0.058522467	Yes	
row_3	HSPA5	169	1.0168007612228394	0.0856592	Yes	
row_4	DDIT3	182	0.983445942401886	0.108637385	Yes	
row_5	DDIT4	183	0.9806997179985046	0.13786285	Yes	
row_6	SQSTM1	218	0.8653061985969543	0.14571701	Yes	
row_7	ERO1A	221	0.8533198833465576	0.17009161	Yes	
row_8	NAMPT	291	0.6741024255752563	0.15378788	Yes	
row_9	XBP1	313	0.6291650533676147	0.16146144	Yes	
row_10	P4HA1	318	0.6192784309387207	0.17780662	Yes	
row_11	TFRC	352	0.5244680643081665	0.17603102	No	
row_12	SLC7A5	437	0.34934088587760925	0.14213781	No	
row_13	TXNRD1	455	0.3050335943698883	0.14226176	No	
row_14	HSP90B1	503	0.20219995081424713	0.12349841	No	
row_15	SERPINH1	506	0.2008954882621765	0.12843037	No	
row_16	LDHA	539	0.12144199013710022	0.115171775	No	
row_17	CALR	543	0.11368231475353241	0.116977304	No	
row_18	PNO1	630	-0.04014713689684868	0.07281506	No	
row_19	BCAT1	693	-0.13509224355220795	0.044140477	No	
row_20	PGK1	711	-0.15440845489501953	0.0397757	No	
row_21	SDF2L1	715	-0.1606009304523468	0.042979427	No	
row_22	HMGCR	718	-0.16177530586719513	0.04674558	No	
row_23	ENO1	724	-0.17051158845424652	0.0491898	No	
row_24	HSPE1	726	-0.17581242322921753	0.05390169	No	
row_25	HPRT1	742	-0.1928894966840744	0.051738527	No	
row_26	TPI1	759	-0.2094639390707016	0.049541865	No	
row_27	CDKN1A	764	-0.21882490813732147	0.053953275	No	
row_28	IDI1	829	-0.29681679606437683	0.029043328	No	
row_29	GAPDH	838	-0.3079133927822113	0.033999927	No	
row_30	NFIL3	854	-0.32488617300987244	0.035770345	No	
row_31	RRP9	863	-0.3320031762123108	0.041444834	No	
row_32	PNP	893	-0.3532038927078247	0.03667517	No	
row_33	SLC2A3	945	-0.40490859746932983	0.021842964	No	
row_34	HSPD1	957	-0.42600417137145996	0.028736465	No	
row_35	ASNS	1037	-0.5146817564964294	0.0024076346	No	
row_36	BHLHE40	1038	-0.5159717202186584	0.01778391	No	
row_37	HMBS	1064	-0.5402536988258362	0.020698152	No	
row_38	TOMM40	1072	-0.5473484992980957	0.03331749	No	
row_39	PDK1	1075	-0.5483672618865967	0.048604324	No	
row_40	PSMG1	1082	-0.5536385178565979	0.06193854	No	
row_41	STIP1	1083	-0.5551455616950989	0.07848222	No	
row_42	BTG2	1133	-0.6027244329452515	0.0705999	No	
row_43	MTHFD2	1168	-0.6499865651130676	0.07203741	No	
row_44	SHMT2	1335	-0.8274704217910767	0.009143804	No	
row_45	ABCF2	1357	-0.8522962927818298	0.023466812	No	
row_46	POLR3G	1489	-1.0206040143966675	-0.01521138	No	
row_47	SLC7A11	1626	-1.2284923791885376	-0.050331503	No	
row_48	SLC2A1	1646	-1.2820091247558594	-0.022147933	No	
row_49	TUBG1	1660	-1.3147556781768799	0.01017606	No	
row_50	SKAP2	1762	-1.605322241783142	0.0047456175	No	
row_51	PSPH	1925	-3.0972766876220703	0.011603341	No	
