NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM5	615	-0.011017701588571072	-0.3197609	No	
row_1	PPRC1	652	-0.07855229079723358	-0.33339787	No	
row_2	MYC	710	-0.1539493203163147	-0.353061	No	
row_3	HSPE1	726	-0.17581242322921753	-0.34941193	No	
row_4	RRP12	737	-0.1910637617111206	-0.34216276	No	
row_5	NOP16	845	-0.31339800357818604	-0.37748265	Yes	
row_6	NDUFAF4	857	-0.3271864950656891	-0.36187732	Yes	
row_7	RRP9	863	-0.3320031762123108	-0.3428312	Yes	
row_8	NIP7	873	-0.34085890650749207	-0.325292	Yes	
row_9	NOP2	882	-0.34527215361595154	-0.30694386	Yes	
row_10	HSPD1	957	-0.42600417137145996	-0.3177237	Yes	
row_11	DUSP2	967	-0.44048264622688293	-0.29368752	Yes	
row_12	BYSL	969	-0.4413197934627533	-0.2654279	Yes	
row_13	PUS1	1006	-0.47325488924980164	-0.2533243	Yes	
row_14	NOP56	1040	-0.5175759792327881	-0.23676696	Yes	
row_15	NOLC1	1062	-0.5366301536560059	-0.21271376	Yes	
row_16	IMP4	1071	-0.5472151637077332	-0.1811959	Yes	
row_17	WDR74	1074	-0.5478804707527161	-0.14650802	Yes	
row_18	GRWD1	1085	-0.5561203956604004	-0.11545161	Yes	
row_19	PPAN	1092	-0.5667247176170349	-0.08161922	Yes	
row_20	MRTO4	1140	-0.6113728880882263	-0.06624038	Yes	
row_21	NPM1	1209	-0.6964938044548035	-0.05625357	Yes	
row_22	SRM	1286	-0.7655277848243713	-0.045933545	Yes	
row_23	DCTPP1	1295	-0.7788503766059875	6.904376E-4	Yes	
row_24	FARSA	1399	-0.8936452865600586	0.0052958373	Yes	
row_25	PA2G4	1455	-0.972723126411438	0.04007133	Yes	
row_26	CDK4	1512	-1.0533795356750488	0.079585746	Yes	
row_27	PHB1	1542	-1.0983279943466187	0.1361013	Yes	
row_28	PRMT3	1572	-1.1412228345870972	0.19541425	Yes	
