NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR1	226	0.8320905566215515	-0.040671453	No	
row_1	THBS1	292	0.6734527349472046	-0.012557239	No	
row_2	SERPINE1	404	0.428139328956604	-0.030748697	No	
row_3	KLF10	484	0.23809456825256348	-0.049804814	No	
row_4	SMAD6	492	0.22098985314369202	-0.033162415	No	
row_5	ID3	611	-9.86116865533404E-5	-0.09422998	No	
row_6	ID1	772	-0.22589655220508575	-0.15633017	No	
row_7	SLC20A1	944	-0.403751939535141	-0.20781395	No	
row_8	TGIF1	1027	-0.5105655789375305	-0.20343626	No	
row_9	JUNB	1044	-0.5205079317092896	-0.16398533	No	
row_10	SMAD7	1078	-0.5498652458190918	-0.1306414	No	
row_11	ID2	1430	-0.9462136030197144	-0.22554713	Yes	
row_12	BMP2	1453	-0.9689683318138123	-0.14807633	Yes	
row_13	BCAR3	1469	-0.9891821146011353	-0.06512864	Yes	
row_14	SKI	1587	-1.1699401140213013	-0.018399818	Yes	
row_15	SMURF1	1872	-2.2269294261932373	0.03881991	Yes	
