NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC25B	7	22.089719772338867	0.031957358	Yes	
row_1	CCND1	101	16.928600311279297	0.049126826	Yes	
row_2	EREG	142	16.003559112548828	0.06936128	Yes	
row_3	IFITM3	216	14.820915222167969	0.08509659	Yes	
row_4	ERBB2	370	13.3544921875	0.09198822	Yes	
row_5	PAK1	372	13.336703300476074	0.11155205	Yes	
row_6	TIMP1	393	13.180084228515625	0.12929787	Yes	
row_7	PEA15	398	13.167497634887695	0.1483618	Yes	
row_8	ANKH	425	12.98598575592041	0.16532041	Yes	
row_9	DNAJA1	503	12.362602233886719	0.1771	Yes	
row_10	CASP4	625	11.799651145935059	0.18437442	Yes	
row_11	CASP7	651	11.66746997833252	0.19947417	Yes	
row_12	ERBB3	714	11.400269508361816	0.21108921	Yes	
row_13	SAT1	736	11.313199996948242	0.22600122	Yes	
row_14	SQSTM1	1176	9.76941967010498	0.20371832	Yes	
row_15	CDK2	1233	9.617364883422852	0.21320808	Yes	
row_16	CTNNB1	1410	9.107667922973633	0.2119219	Yes	
row_17	TNFRSF12A	1506	8.892304420471191	0.21708536	Yes	
row_18	PPT1	1697	8.441749572753906	0.21364857	Yes	
row_19	CASP1	1744	8.342987060546875	0.22209635	Yes	
row_20	DAP3	1848	8.128572463989258	0.22546637	Yes	
row_21	VDAC2	1880	8.054943084716797	0.23474295	Yes	
row_22	ENO2	1979	7.862777233123779	0.23813911	Yes	
row_23	BRCA1	1985	7.8501200675964355	0.24928606	Yes	
row_24	IRF1	1987	7.848056793212891	0.26076412	Yes	
row_25	DNAJC3	2064	7.701226234436035	0.2657602	Yes	
row_26	DNM1L	2136	7.5470428466796875	0.27094686	Yes	
row_27	KRT18	2143	7.536807060241699	0.2815487	Yes	
row_28	DFFA	2160	7.493697643280029	0.2912516	Yes	
row_29	BIRC3	2337	7.205418109893799	0.28716305	Yes	
row_30	HMOX1	2368	7.153794765472412	0.29519564	Yes	
row_31	IFNGR1	2375	7.146111011505127	0.3052219	Yes	
