NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC25B	7	22.089719772338867	0.023633776	Yes	
row_1	EED	148	15.847811698913574	0.029283702	Yes	
row_2	AK2	166	15.404128074645996	0.04474953	Yes	
row_3	E2F8	172	15.316201210021973	0.061124053	Yes	
row_4	TK1	176	15.290414810180664	0.07763782	Yes	
row_5	EXOSC8	203	14.976585388183594	0.091881044	Yes	
row_6	TRA2B	230	14.68919849395752	0.10580915	Yes	
row_7	NAP1L1	257	14.342206001281738	0.11935681	Yes	
row_8	POLE4	267	14.20722770690918	0.13418038	Yes	
row_9	MYBL2	316	13.798563957214355	0.14528926	Yes	
row_10	IPO7	373	13.331119537353516	0.15521555	Yes	
row_11	XRCC6	501	12.387308120727539	0.1581601	Yes	
row_12	PRDX4	530	12.242422103881836	0.16923794	Yes	
row_13	HELLS	548	12.165934562683105	0.18115328	Yes	
row_14	LYAR	549	12.165793418884277	0.19449235	Yes	
row_15	PRPS1	798	11.030121803283691	0.185814	Yes	
row_16	PNN	804	10.9972562789917	0.19745304	Yes	
row_17	ILF3	810	10.985442161560059	0.20907915	Yes	
row_18	ATAD2	825	10.94908332824707	0.21991155	Yes	
row_19	POLE	837	10.902606964111328	0.23094428	Yes	
row_20	MCM5	917	10.581023216247559	0.23592877	Yes	
row_21	DDX39A	928	10.521293640136719	0.24662717	Yes	
row_22	KPNA2	936	10.49527359008789	0.2575483	Yes	
row_23	GINS1	951	10.455418586730957	0.26783943	Yes	
row_24	SRSF2	981	10.364217758178711	0.2767742	Yes	
row_25	DCTPP1	1185	9.745797157287598	0.2704568	Yes	
row_26	TBRG4	1204	9.694499969482422	0.27957857	Yes	
row_27	RAN	1373	9.200329780578613	0.27559468	Yes	
row_28	POLD3	1396	9.132317543029785	0.28376502	Yes	
row_29	NOP56	1455	9.006851196289062	0.28878248	Yes	
row_30	UBE2S	1458	9.003989219665527	0.2984873	Yes	
row_31	CIT	1493	8.916586875915527	0.30541602	Yes	
row_32	TFRC	1512	8.871099472045898	0.313635	Yes	
row_33	MMS22L	1518	8.855911254882812	0.3229262	Yes	
row_34	ING3	1530	8.832845687866211	0.33168954	Yes	
row_35	TP53	1578	8.721333503723145	0.33731532	Yes	
row_36	PAICS	1610	8.634260177612305	0.34418574	Yes	
row_37	LIG1	1647	8.553651809692383	0.35054898	Yes	
row_38	CSE1L	1692	8.452722549438477	0.3561315	Yes	
row_39	CTPS1	1705	8.418872833251953	0.3643572	Yes	
row_40	GSPT1	1722	8.3912992477417	0.37221763	Yes	
row_41	CHEK2	1732	8.368551254272461	0.38063943	Yes	
row_42	SRSF1	1739	8.353155136108398	0.3892956	Yes	
row_43	NOLC1	1756	8.318660736083984	0.3970764	Yes	
