NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDF1	86	20.87436866760254	0.017217686	Yes	
row_1	RPA2	126	19.978097915649414	0.037314713	Yes	
row_2	NCBP2	172	19.083602905273438	0.055864677	Yes	
row_3	TP53	238	17.889551162719727	0.071347594	Yes	
row_4	SF3A3	259	17.69027328491211	0.09035757	Yes	
row_5	TAF12	262	17.642807006835938	0.11081606	Yes	
row_6	GTF2H1	274	17.53099822998047	0.13039184	Yes	
row_7	ERCC3	292	17.30303382873535	0.14919977	Yes	
row_8	POLR2D	441	15.653489112854004	0.15513343	Yes	
row_9	RFC4	447	15.628022193908691	0.17298584	Yes	
row_10	CANT1	489	15.233193397521973	0.18736865	Yes	
row_11	IMPDH2	499	15.116389274597168	0.20428869	Yes	
row_12	UPF3B	506	15.074332237243652	0.22141024	Yes	
row_13	SNAPC5	825	13.109652519226074	0.21016544	Yes	
row_14	POLH	884	12.787583351135254	0.22026871	Yes	
row_15	SAC3D1	991	12.32441234588623	0.22581981	Yes	
row_16	NME1	1009	12.25294303894043	0.23872386	Yes	
row_17	UMPS	1047	12.059796333312988	0.24973099	Yes	
row_18	POLR1H	1118	11.843092918395996	0.2577274	Yes	
row_19	POLB	1233	11.44195556640625	0.2615784	Yes	
row_20	TYMS	1247	11.385652542114258	0.27380276	Yes	
row_21	SEC61A1	1272	11.30565071105957	0.28501445	Yes	
row_22	HPRT1	1435	10.768022537231445	0.2840669	Yes	
row_23	DAD1	1457	10.720014572143555	0.29484463	Yes	
row_24	GMPR2	1471	10.690343856811523	0.30625612	Yes	
row_25	SSRP1	1523	10.53600788116455	0.31431204	Yes	
row_26	POLA1	1549	10.468352317810059	0.32446134	Yes	
row_27	POLR1C	1552	10.448798179626465	0.33650956	Yes	
row_28	LIG1	1631	10.248886108398438	0.34197378	Yes	
row_29	NUDT9	1641	10.225967407226562	0.35317662	Yes	
row_30	PNP	1661	10.167113304138184	0.36347508	Yes	
row_31	DUT	1664	10.161558151245117	0.37518752	Yes	
row_32	APRT	1761	9.871017456054688	0.37870598	Yes	
row_33	SRSF6	1803	9.765486717224121	0.38669667	Yes	
row_34	TAF9	1873	9.562602996826172	0.39211062	Yes	
row_35	NELFE	1929	9.403261184692383	0.39850807	Yes	
row_36	POLR2H	2305	8.539356231689453	0.37715757	Yes	
row_37	NELFCD	2414	8.350618362426758	0.37789595	Yes	
row_38	XPC	2460	8.266392707824707	0.38379988	Yes	
row_39	POLR2A	2467	8.253249168395996	0.39294714	Yes	
row_40	ERCC8	2543	8.1239652633667	0.39617786	Yes	
row_41	SUPT4H1	2581	8.059295654296875	0.40250814	Yes	
row_42	PCNA	2704	7.814093112945557	0.40144947	Yes	
row_43	USP11	2840	7.575301170349121	0.3990254	Yes	
row_44	POLD3	2904	7.4579339027404785	0.4024802	Yes	
row_45	TAF1C	2905	7.4547834396362305	0.41119534	Yes	
row_46	DGCR8	2920	7.42932653427124	0.41871092	Yes	
row_47	TMED2	2946	7.370205402374268	0.42523828	Yes	
row_48	NPR2	2948	7.367489814758301	0.4337678	Yes	
row_49	POLD1	2977	7.319159507751465	0.43998483	Yes	
row_50	MRPL40	3086	7.115299224853516	0.43927902	Yes	
row_51	AGO4	3109	7.083718776702881	0.4457221	Yes	
row_52	BCAM	3180	6.970152854919434	0.44802174	Yes	
row_53	POLE4	3272	6.825344085693359	0.4483974	Yes	
row_54	ERCC2	3279	6.817888259887695	0.45586663	Yes	
row_55	ELL	3314	6.763210773468018	0.46093237	Yes	
row_56	DGUOK	3345	6.718659400939941	0.46628025	Yes	
row_57	NUDT21	3382	6.662129878997803	0.4710607	Yes	
row_58	RFC5	3453	6.568134784698486	0.47289035	Yes	
row_59	ITPA	3557	6.431278705596924	0.47180265	Yes	
row_60	RRM2B	3695	6.236377239227295	0.46764618	Yes	
row_61	RBX1	3769	6.142057418823242	0.46872705	Yes	
row_62	TARBP2	3775	6.139695167541504	0.475487	Yes	
row_63	AK3	3804	6.102923393249512	0.48028213	Yes	
row_64	POLR2G	3943	5.9340996742248535	0.47568876	No	
row_65	ERCC5	4229	5.583611965179443	0.45840284	No	
row_66	GTF2A2	4255	5.550193786621094	0.4628025	No	
row_67	COX17	4290	5.500128746032715	0.4663916	No	
row_68	POM121	4293	5.495159149169922	0.47264868	No	
row_69	CETN2	4338	5.446035385131836	0.475339	No	
row_70	TAF13	4443	5.293163776397705	0.4728372	No	
row_71	SMAD5	4544	5.170393466949463	0.47052613	No	
row_72	MPG	4845	4.813961505889893	0.45108712	No	
row_73	GTF2H5	5247	4.38513708114624	0.42270762	No	
row_74	CSTF3	5273	4.350454807281494	0.4257047	No	
row_75	RALA	5327	4.31129264831543	0.42631638	No	
row_76	STX3	5364	4.259877681732178	0.42828846	No	
row_77	TAF10	5392	4.226873397827148	0.43097392	No	
row_78	PRIM1	5515	4.10650110244751	0.42558086	No	
row_79	DDB2	5526	4.08868408203125	0.42952523	No	
row_80	ADRM1	6004	3.643686532974243	0.39392865	No	
row_81	ELOA	6161	3.505031108856201	0.3849915	No	
row_82	NFX1	6209	3.444490671157837	0.38509122	No	
row_83	GTF2B	6224	3.4318413734436035	0.38793346	No	
row_84	ALYREF	6282	3.390462636947632	0.38713443	No	
row_85	ADA	6317	3.357578754425049	0.38821876	No	
row_86	RAE1	6392	3.3005623817443848	0.38589418	No	
row_87	GUK1	6432	3.261366367340088	0.38644823	No	
row_88	GTF2F1	6501	3.205348014831543	0.3845137	No	
row_89	ZNF707	6783	2.960660457611084	0.36449564	No	
row_90	AAAS	6876	2.8888330459594727	0.36018568	No	
row_91	GTF2H3	6892	2.8712453842163086	0.36228904	No	
row_92	RNMT	6949	2.8198647499084473	0.36090648	No	
row_93	AK1	6993	2.779029130935669	0.36056244	No	
row_94	EIF1B	7162	2.6232059001922607	0.3495917	No	
row_95	DDB1	7227	2.5822901725769043	0.34726298	No	
row_96	RFC2	7230	2.5817346572875977	0.35011408	No	
row_97	ZWINT	7339	2.506068468093872	0.3440198	No	
row_98	ERCC1	7448	2.4164838790893555	0.33782074	No	
row_99	VPS37B	7479	2.3951833248138428	0.3381142	No	
row_100	TAF6	7603	2.291440725326538	0.33051562	No	
row_101	PDE4B	7930	2.0577809810638428	0.305682	No	
row_102	DCTN4	8176	1.9043258428573608	0.28743702	No	
row_103	RPA3	8317	1.8210604190826416	0.27786812	No	
row_104	POLR1D	8327	1.8138742446899414	0.27923664	No	
row_105	REV3L	8388	1.772884488105774	0.2762959	No	
row_106	NME3	8399	1.7675361633300781	0.2775267	No	
row_107	CLP1	8661	1.601123571395874	0.25759035	No	
row_108	ADCY6	8679	1.5867339372634888	0.2580249	No	
row_109	POLR3C	8876	1.476326584815979	0.24337383	No	
row_110	POLL	9020	1.386893391609192	0.23304667	No	
row_111	GTF3C5	9032	1.3803801536560059	0.2337413	No	
row_112	BRF2	9204	1.2885456085205078	0.2209596	No	
row_113	POLR3GL	9298	1.224696159362793	0.21462062	No	
row_114	SNAPC4	9337	1.205030083656311	0.21285425	No	
row_115	NELFB	9378	1.1784366369247437	0.21088968	No	
row_116	POLR2I	9428	1.1528217792510986	0.20814314	No	
row_117	ARL6IP1	9568	1.0708751678466797	0.19778077	No	
row_118	VPS28	9813	0.9494413137435913	0.17850302	No	
row_119	FEN1	9833	0.9413042068481445	0.1780159	No	
row_120	SDCBP	10223	0.7826582193374634	0.14642754	No	
row_121	SUPT5H	10291	0.7555091381072998	0.14171252	No	
row_122	NT5C	10443	0.6915860772132874	0.12990405	No	
row_123	CDA	10499	0.6711015701293945	0.12609303	No	
row_124	RFC3	10573	0.6423346400260925	0.12074436	No	
row_125	RAD52	10668	0.5989977717399597	0.11359035	No	
row_126	POLD4	10676	0.5968295335769653	0.11370319	No	
row_127	HCLS1	10776	0.554560124874115	0.106079444	No	
row_128	NT5C3A	10802	0.5453237295150757	0.104628064	No	
row_129	NME4	10971	0.47797369956970215	0.09114941	No	
row_130	MPC2	11111	0.4177290201187134	0.08002346	No	
row_131	GPX4	11173	0.3938896656036377	0.075387016	No	
row_132	SURF1	11189	0.38742324709892273	0.0745866	No	
row_133	ERCC4	11195	0.3844439387321472	0.07461826	No	
