NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP4	19	24.783464431762695	0.029599924	Yes	
row_1	TRIM21	29	23.91267967224121	0.05894053	Yes	
row_2	PSME2	104	20.39518928527832	0.07841695	Yes	
row_3	NMI	175	19.071352005004883	0.096561976	Yes	
row_4	CASP1	195	18.629045486450195	0.11841673	Yes	
row_5	TOR1B	302	17.1687068939209	0.13115577	Yes	
row_6	PTPN2	358	16.534114837646484	0.14736256	Yes	
row_7	PSMB8	363	16.46904754638672	0.16775382	Yes	
row_8	TRIM25	367	16.444467544555664	0.18819779	Yes	
row_9	TDRD7	381	16.363544464111328	0.20770338	Yes	
row_10	IRF7	471	15.402524948120117	0.21964186	Yes	
row_11	RIGI	475	15.345343589782715	0.23870263	Yes	
row_12	ITGB7	532	14.846330642700195	0.25270173	Yes	
row_13	ARL4A	808	13.170699119567871	0.24627185	Yes	
row_14	IFIH1	851	12.957120895385742	0.25906458	Yes	
row_15	AUTS2	854	12.941308975219727	0.2751836	Yes	
row_16	TRIM14	971	12.401825904846191	0.2810871	Yes	
row_17	CASP7	1069	11.979900360107422	0.28804904	Yes	
row_18	IL4R	1124	11.822599411010742	0.29841018	Yes	
row_19	VAMP8	1436	10.76540470123291	0.28594175	Yes	
row_20	PLA2G4A	1450	10.73697566986084	0.29836646	Yes	
row_21	CASP3	1593	10.331242561340332	0.2994892	Yes	
row_22	PNP	1661	10.167113304138184	0.30667943	Yes	
row_23	NCOA3	1870	9.564192771911621	0.3013157	Yes	
row_24	SRI	1912	9.450288772583008	0.3097788	Yes	
row_25	MTHFD2	1961	9.334125518798828	0.3175102	Yes	
row_26	MYD88	2084	9.052940368652344	0.31869727	Yes	
row_27	JAK2	2147	8.935256004333496	0.32475552	Yes	
row_28	NFKB1	2155	8.921883583068848	0.3353979	Yes	
row_29	STAT3	2228	8.731740951538086	0.34036347	Yes	
row_30	NFKBIA	2270	8.62249755859375	0.34778488	Yes	
row_31	TNFSF10	2344	8.47645378112793	0.35234553	Yes	
row_32	CDKN1A	2528	8.151150703430176	0.34729484	Yes	
row_33	PSMA3	2603	8.019588470458984	0.3511969	Yes	
row_34	SPPL2A	2613	8.002724647521973	0.36051524	Yes	
row_35	OGFR	2653	7.925532817840576	0.3672268	Yes	
row_36	TAP1	2658	7.9133620262146	0.37685096	Yes	
row_37	ZNFX1	2719	7.784814357757568	0.3816287	Yes	
row_38	PSMA2	2725	7.779232025146484	0.3910004	Yes	
row_39	CMTR1	3070	7.13726806640625	0.37120548	Yes	
row_40	B2M	3158	7.01202917098999	0.37275204	Yes	
row_41	ISG20	3206	6.935866832733154	0.3775489	Yes	
row_42	ARID5B	3278	6.818857192993164	0.38019082	Yes	
row_43	RIPK2	3291	6.796230792999268	0.38773987	Yes	
row_44	PLSCR1	3535	6.456427097320557	0.3755372	Yes	
