NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB16	9	26.72648811340332	0.064310744	Yes	
row_1	GP1BA	556	14.696648597717285	0.05465832	Yes	
row_2	BARD1	739	13.531072616577148	0.072453946	Yes	
row_3	FGGY	812	13.165877342224121	0.09851276	Yes	
row_4	ENTPD7	875	12.82829761505127	0.124581836	Yes	
row_5	STAG3	930	12.578398704528809	0.1507082	Yes	
row_6	MFSD6	1014	12.2205810546875	0.1735507	Yes	
row_7	C5	1086	11.953964233398438	0.19674258	Yes	
row_8	HSD11B2	1322	11.180840492248535	0.20440742	Yes	
row_9	MACROH2A2	1397	10.916197776794434	0.2248235	Yes	
row_10	KRT15	1405	10.89456558227539	0.25076145	Yes	
row_11	PRKN	1410	10.877386093139648	0.27690715	Yes	
row_12	SPTBN2	1962	9.331599235534668	0.25377873	Yes	
row_13	LFNG	2018	9.220605850219727	0.2716481	Yes	
row_14	CD207	2047	9.144556045532227	0.2915788	Yes	
row_15	IDUA	2173	8.882379531860352	0.30280074	Yes	
row_16	KMT2D	2524	8.157035827636719	0.29353663	Yes	
row_17	CDKAL1	2632	7.973360538482666	0.30404338	Yes	
row_18	PDK2	3006	7.269090175628662	0.29070413	Yes	
row_19	DTNB	3288	6.7995991706848145	0.28387657	Yes	
row_20	TFCP2L1	3377	6.666138172149658	0.29278204	Yes	
row_21	CAMK1D	3504	6.493796348571777	0.29810628	Yes	
row_22	IGFBP2	3569	6.410445690155029	0.30838618	Yes	
row_23	BTG2	3652	6.286229610443115	0.31686604	Yes	
row_24	LYPD3	3681	6.249584674835205	0.32974958	Yes	
row_25	SKIL	3913	5.9614410400390625	0.32504177	Yes	
row_26	CLDN8	4347	5.43424129486084	0.30224392	Yes	
row_27	FGFR3	4421	5.3267011642456055	0.30913684	Yes	
row_28	MSH5	4445	5.290628433227539	0.32010204	Yes	
row_29	TGM1	4456	5.275732517242432	0.33211258	Yes	
row_30	RYR1	4641	5.041354179382324	0.32907552	Yes	
row_31	MAST3	4645	5.03690242767334	0.3410871	Yes	
row_32	MTHFR	4767	4.895795822143555	0.3429374	Yes	
row_33	GPRC5C	4834	4.82619047164917	0.34919438	Yes	
row_34	CPEB3	4836	4.823779106140137	0.36085358	Yes	
row_35	EFHD1	4878	4.773563385009766	0.36906245	Yes	
row_36	TENT5C	5085	4.559488296508789	0.36302197	Yes	
row_37	VPS50	5152	4.4781174659729	0.36843163	Yes	
row_38	THNSL2	5460	4.1590070724487305	0.3530129	Yes	
row_39	YBX2	5491	4.131830215454102	0.36057484	Yes	
row_40	KRT1	5649	3.970201253890991	0.35717675	Yes	
row_41	NR4A2	5695	3.9300053119659424	0.36299938	Yes	
row_42	NRIP2	5948	3.7030553817749023	0.35104683	Yes	
row_43	SELENOP	5969	3.6847362518310547	0.35835245	Yes	
row_44	SGK1	5976	3.6753129959106445	0.36679995	Yes	
row_45	TFAP2B	6012	3.6330373287200928	0.3727317	Yes	
row_46	PKP1	6180	3.4830658435821533	0.36731577	No	
row_47	SLC6A14	6702	3.0368833541870117	0.33136034	No	
row_48	TENM2	6859	2.9017879962921143	0.3254446	No	
row_49	THRB	7221	2.5895538330078125	0.3017125	No	
row_50	CELSR2	7248	2.5683481693267822	0.30580133	No	
row_51	COQ8A	7354	2.4902210235595703	0.30312705	No	
row_52	CALML5	7512	2.36824107170105	0.29582936	No	
row_53	EDN1	7541	2.3376479148864746	0.29919016	No	
