NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJA1	14	25.694095611572266	0.037810855	Yes	
row_1	EIF2S3	22	24.44261932373047	0.07430737	Yes	
row_2	EIF5	55	22.340728759765625	0.105528735	Yes	
row_3	HNRNPU	81	21.063982009887695	0.13539742	Yes	
row_4	RAB27A	235	17.92163848876953	0.14981632	Yes	
row_5	STIP1	278	17.47993278503418	0.17282903	Yes	
row_6	BMP2	308	17.090219497680664	0.19633548	Yes	
row_7	RFC4	447	15.628022193908691	0.20852672	Yes	
row_8	AMD1	458	15.542356491088867	0.2312707	Yes	
row_9	PDAP1	496	15.167238235473633	0.2511922	Yes	
row_10	FKBP4	535	14.811110496520996	0.27049002	Yes	
row_11	TARS1	552	14.717754364013672	0.29148227	Yes	
row_12	H2AX	887	12.777599334716797	0.2829914	Yes	
row_13	PARP2	1052	12.017661094665527	0.28753564	Yes	
row_14	CASP3	1593	10.331242561340332	0.25814104	Yes	
row_15	DNAJB1	1630	10.249188423156738	0.2706851	Yes	
row_16	BAK1	1672	10.134847640991211	0.2826384	Yes	
row_17	CA2	1957	9.34609603881836	0.27311468	Yes	
row_18	CDKN2B	2020	9.214208602905273	0.28191867	Yes	
row_19	CDK2	2022	9.21056079864502	0.2958081	Yes	
row_20	NUP58	2099	9.0224027633667	0.30315274	Yes	
row_21	NFKBIA	2270	8.62249755859375	0.30204555	Yes	
row_22	POLR2H	2305	8.539356231689453	0.3121626	Yes	
row_23	PSMC3	2471	8.243136405944824	0.31089723	Yes	
row_24	YKT6	2541	8.126150131225586	0.31746638	Yes	
row_25	RPN1	2584	8.05367660522461	0.32617897	Yes	
row_26	TAP1	2658	7.9133620262146	0.33209145	Yes	
row_27	CYB5R1	2728	7.772478103637695	0.33812407	Yes	
row_28	SELENOW	2826	7.595688819885254	0.34155166	Yes	
row_29	POLE3	3228	6.906178951263428	0.31856182	Yes	
row_30	ASNS	3318	6.7587080001831055	0.32138732	Yes	
row_31	TGFBRAP1	3359	6.686230182647705	0.32819232	Yes	
row_32	TYRO3	3380	6.665254592895508	0.3366347	Yes	
row_33	SIGMAR1	3392	6.649835586547852	0.3458048	Yes	
row_34	JUNB	3460	6.555270195007324	0.35015777	Yes	
row_35	GRPEL1	3508	6.487936973571777	0.35607776	Yes	
row_36	IGFBP2	3569	6.410445690155029	0.36079523	Yes	
row_37	BTG2	3652	6.286229610443115	0.36348817	Yes	
row_38	ATP6V1F	3822	6.080844879150391	0.35860863	Yes	
row_39	SLC6A8	3857	6.043792724609375	0.36493978	Yes	
row_40	GCH1	4121	5.712491989135742	0.35165635	Yes	
row_41	MMP14	4151	5.679122447967529	0.35785156	Yes	
row_42	HMOX1	4243	5.563548564910889	0.35869703	Yes	
row_43	AQP3	4289	5.50065803527832	0.36328617	Yes	
row_44	FOSB	4371	5.406772136688232	0.3647284	Yes	
row_45	ALAS1	4468	5.2613654136657715	0.36469814	Yes	
row_46	PPAT	4486	5.243466854095459	0.37123394	Yes	
row_47	ALDOA	4551	5.153083324432373	0.3737101	Yes	
row_48	ENO2	4589	5.107307434082031	0.3783702	Yes	
row_49	ATF3	4612	5.077839374542236	0.38423744	Yes	
row_50	CDC34	4630	5.055100917816162	0.3904875	Yes	
row_51	RASGRP1	4656	5.022036075592041	0.39601973	Yes	
row_52	PPT1	4698	4.977832794189453	0.40014955	Yes	
row_53	DDX21	4707	4.968626022338867	0.40701956	Yes	
row_54	CDC5L	4786	4.868335247039795	0.4078953	Yes	
row_55	NR4A1	4793	4.860877990722656	0.41476876	Yes	
row_56	AP2S1	4852	4.805467128753662	0.4172183	Yes	
row_57	IRF1	5077	4.566989898681641	0.40545195	No	
row_58	FOS	5401	4.213521480560303	0.38488698	No	
