Item ID	Item value	Change in Kuiper test statistic when item removed
CANT1	2.21779915755411	0.014296582633700483
NCBP2	3.83355793557004	1.1102230246251565E-16
RPA2	4.74475929046391	1.1102230246251565E-16
NME1	5.05391389132225	1.1102230246251565E-16
POLB	2.96352725374623	1.1102230246251565E-16
PNP	3.56924210749397	1.1102230246251565E-16
IMPDH2	5.28280649912799	0.009537191991905947
POLR1C	3.31709553398451	1.1102230246251565E-16
POLR2D	2.56091714076292	1.1102230246251565E-16
HPRT1	4.10596085904685	1.1102230246251565E-16
POLR1H	2.97232119552001	1.1102230246251565E-16
TP53	3.98568865905226	1.1102230246251565E-16
POLH	2.72235940985834	1.1102230246251565E-16
SAC3D1	4.16470603290893	1.1102230246251565E-16
