Item ID	Item value	Change in Kuiper test statistic when item removed
CNTFR	10.6229091771857	-0.011029411764705843
TFAP2B	7.90523883598239	-0.011029411764705843
CALML5	9.42334254799857	-0.011029411764705843
ZBTB16	6.54253111866197	-0.011029411764705843
ENTPD7	19.5079243202251	0.05147058823529416
GP1BA	8.34662399088329	-0.011029411764705843
LYPD3	10.8541220422737	-0.001395542386039228
TFCP2L1	6.57157677034743	-0.011029411764705843
THNSL2	8.59600340661425	-0.011029411764705843
TGM1	10.4639992354954	-0.011029411764705843
HSD11B2	8.27504422672093	-0.011029411764705843
MFSD6	7.64712337492205	-0.011029411764705843
TG	6.47243388747641	-0.008108693798640876
KRT15	8.02448102092035	-0.011029411764705843
SLC16A7	20.1838168899245	0.05147058823529416
SYNPO	21.6278081160972	0.05147058823529416
SPTBN2	9.07484671879404	-0.011029411764705843
