Item ID	Item value	Change in Kuiper test statistic when item removed
CANT1	20.2177991575541	0.01429658263370015
NCBP2	21.83355793557	1.1102230246251565E-16
RPA2	22.7447592904639	1.1102230246251565E-16
NME1	23.0539138913222	1.1102230246251565E-16
POLB	20.9635272537462	1.1102230246251565E-16
PNP	21.569242107494	1.1102230246251565E-16
IMPDH2	23.282806499128	0.0095371919919085
POLR1C	21.3170955339845	1.1102230246251565E-16
POLR2D	20.5609171407629	1.1102230246251565E-16
HPRT1	22.1059608590468	1.1102230246251565E-16
POLR1H	20.97232119552	1.1102230246251565E-16
TP53	21.9856886590523	1.1102230246251565E-16
POLH	20.7223594098583	1.1102230246251565E-16
SAC3D1	22.1647060329089	1.1102230246251565E-16
