Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	21.657371864751	0.0
AHCY	23.9304967263676	0.014710165439068112
RGS16	17.1460340119279	0.004258016429158573
NOP2	21.1715884550366	0.0
RORA	10.0982228274156	0.014746691676337687
SLC2A3	15.6058727362155	0.004258016429158573
PNP	21.569242107494	0.0
NFIL3	14.2085549141083	0.004258016429158573
CA2	0.345563824805301	0.017294462434903846
MYC	15.9258327608287	0.004258016429158573
LRRC8C	9.84637939104234	0.014746691676337687
TNFSF10	21.218020846999	0.0
PHLDA1	19.1469470538088	0.0
IL4R	21.258393678948	0.0
CISH	19.8161056937205	0.0
GSTO1	22.5877201170821	0.0
PUS1	22.0306248229221	0.0
DHRS3	11.3634481205514	0.014746691676337687
ADAM19	19.4331287700858	0.0
ARL4A	20.8745181189379	0.0
BMP2	9.41478171544503	0.014746691676337687
PLSCR1	21.4169270763124	0.0
PTRH2	21.6524655416138	0.0
BHLHE40	13.3986752597411	0.012777391560685358
IL3RA	9.40460638754761	0.014746691676337687
MAFF	15.0359069577085	0.004258016429158573
BCL2	8.75904037379471	0.026898583906370788
IRF6	14.6069074731487	0.004258016429158573
EEF1AKMT1	23.1353769971248	0.001814916393228283
